Entitate,Nr_proiecte_finantate,Abreviere,Attribute_tip_institutie_original,Reg_dezvoltare,Pr_instit_coordonatoare,Pr_instit_total,merge1_degree,Eigenvcentral_gephi,Closeness_central_gephi,Beetweeness_gephi,Weighteddegree_Gephi,Authority
UNIVERSITATEA DIN PETROSANI,0,UPET,Universitate publică,Vest,0,2,9,0.135045692294262,0.426695842450765,8.06915538362347,9,0.029776942
INSTITUTUL NATIONAL DE CERCETARE DEZVOLTARE PENTRU MECATRONICA SI TEHNICA MASURARII,1,INCDMTM,Institut de cercetare INCD,Bucuresti-Ilfov,0,2,11,0.180321287367089,0.453488372093023,7.26572422582551,12,0.039772682
"ASOCIATIA INSTITUTUL PENTRU CERCETARE IN ECONOMIE CIRCULARA SI MEDIU ""ERNEST LUPAN"" (IRCEM)",0,IRCEM,ONG,Nord-Vest,0,2,16,0.283123921517332,0.467625899280575,6.97392697527876,16,0.062975235
"INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU PEDOLOGIE, AGROCHIMIE SI PROTECTIA MEDIULUI - ICPA BUCURESTI",1,ICPA,Institut de cercetare INCD,Bucuresti-Ilfov,0,2,14,0.219096186596498,0.472154963680387,5.83207960133451,16,0.04811336
BEIA CERCETARE S.R.L.,1,BEIA,SRL,Bucuresti-Ilfov,0,2,9,0.124364355847548,0.438202247191011,4.42027612691737,10,0.027368408
INSTITUTUL NATIONAL DE CERCETARE STIINTIFICA IN DOMENIUL MUNCII SI PROTECTIEI SOCIALE - I N C S M P S,0,INCSMPS,Institut de cercetare,Bucuresti-Ilfov,0,3,13,0.244009547892039,0.465393794749403,4.28077908508842,19,0.054002278
COMPLEXUL NATIONAL MUZEAL ''ASTRA'' SIBIU,1,MUZEUL ASTRA,Muzeu,Sud+Centru,0,2,12,0.163707047129803,0.451388888888888,2.50425179967182,13,0.03563701
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE SI INCERCARI PENTRU ELECTROTEHNICA-ICMET CRAIOVA,0,ICMET,Institut de cercetare INCD,Sud+Centru,0,2,9,0.162000315118477,0.451388888888888,1.984621667978,12,0.035781212
INSTITUTUL DE CERCETARI SOCIO - UMANE C.S NICOLĂESCU PLOPŞOR,0,ICSU,Academia Română,Sud+Centru,0,1,12,0.268229543831845,0.47560975609756,0.0,12,0.05958378
"UNIVERSITATEA NAŢIONALĂ DE ARTE ""GEORGE ENESCU"" DIN IAŞI",0,UNAGE,Universitate publică,Nord-Est,0,1,12,0.268229543831845,0.47560975609756,0.0,12,0.05958378
INSTITUTUL NAŢIONAL DE CERCETARE - DEZVOLTARE PENTRU SECURITATE MINIERĂ ŞI PROTECŢIE ANTIEXPLOZIVĂ - INSEMEX PETROŞANI,1,INSEMEX,Institut de cercetare INCD,Vest,0,1,14,0.247844101334455,0.460992907801418,0.0,14,0.05502273
CIT - IRECSON CENTRUL DE INFORMARE TEHNOLOGICĂ SRL,0,CIT - IRECSON,SRL,Bucuresti-Ilfov,0,1,8,0.158392718692298,0.452436194895591,0.0,8,0.035021886
ASOCIAŢIA DE SECURITATE CIBERNETICĂ PENTRU CLOUD,0,CSA_RO,ONG,Sud+Centru,0,1,14,0.204854752199747,0.451388888888888,0.0,14,0.045284048
"ASOCIATIA ""CENTRUL DE PREVENIRE A CONFLICTELOR & EARLY WARNING""",0,CPC - EW,ONG,Bucuresti-Ilfov,0,1,14,0.204854752199747,0.451388888888888,0.0,14,0.045284048
GREENSOFT SRL,0,GREENSOFT SRL,SRL,Nord-Est,0,1,14,0.204854752199747,0.451388888888888,0.0,14,0.045284048
"UNIVERSITATEA ""DANUBIUS""",0,UDG,Universitate privată,Sud+Centru,0,1,14,0.204854752199747,0.451388888888888,0.0,14,0.045284048
MUZEUL NATIONAL DE ISTORIE AL TRANSILVANIEI,1,MNIT,Muzeu,Nord-Vest,0,1,10,0.135529405942814,0.448275862068965,0.0,10,0.02938134
MUZEUL NATIONAL DE ISTORIE A ROMANIEI,1,MNIR,Muzeu,Bucuresti-Ilfov,0,1,10,0.135529405942814,0.448275862068965,0.0,10,0.02938134
"ACADEMIA NAŢIONALĂ DE MUZICĂ ""GHEORGHE DIMA"" DIN CLUJ - NAPOCA",1,ANMGD,Universitate publică,Nord-Vest,0,1,10,0.135529405942814,0.448275862068965,0.0,10,0.02938134
INSTITUTUL REGIONAL DE ONCOLOGIE IAŞI,0,IRO IASI,Institut clinic,Nord-Est,0,1,7,0.123913019569617,0.448275862068965,0.0,7,0.027180752
INSTITUTUL DE CERCETARE DEZVOLTARE PENTRU VITICULTURA SI VINIFICATIE,0,ICDVV,Institut de cercetare,Sud+Centru,0,1,11,0.158317108243845,0.447247706422018,0.0,11,0.03468931
INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU BIOTEHNOLOGII IN HORTICULTURA STEFANESTI-ARGES,0,INCDBH,Institut de cercetare,Sud+Centru,0,1,11,0.158317108243845,0.447247706422018,0.0,11,0.03468931
INSTITUTUL ASTRONOMIC,0,ASTRO,Academia Română,Bucuresti-Ilfov,0,1,10,0.166809748625355,0.443181818181818,0.0,10,0.036821987
